epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,11506.5,0.90591,1.27785,0.50878,0.00282,1.37935,0.94079,0.93041,0.96674,0.74212,0.94073,0.93001,0.96537,0.69376,0.91864,1.31585,0.40939,0.00483,0,0.000705753,0.000235251,0.000705753,0.000235251,0.000705753,0.000235251,0.000705753,0.000235251
67,11667.5,0.91692,1.27081,0.51455,0.00282,1.3799,0.94271,0.93221,0.967,0.74384,0.94228,0.93215,0.96562,0.69344,0.91467,1.31796,0.40689,0.00482,0,0.000704149,0.000234716,0.000704149,0.000234716,0.000704149,0.000234716,0.000704149,0.000234716
68,11829.6,0.90578,1.27441,0.50717,0.0028,1.38251,0.94329,0.93374,0.96776,0.74368,0.94284,0.93285,0.96618,0.69424,0.91772,1.3164,0.40425,0.00484,0,0.000702545,0.000234182,0.000702545,0.000234182,0.000702545,0.000234182,0.000702545,0.000234182
69,11994.1,0.90835,1.27659,0.5147,0.00281,1.39457,0.943,0.93052,0.96733,0.74427,0.94316,0.92949,0.96607,0.69302,0.91774,1.31728,0.40718,0.00483,0,0.000700942,0.000233647,0.000700942,0.000233647,0.000700942,0.000233647,0.000700942,0.000233647
70,12155.2,0.90791,1.26113,0.50642,0.00278,1.37851,0.94364,0.93071,0.96729,0.74593,0.94408,0.93005,0.96628,0.69329,0.91299,1.31975,0.40582,0.0048,0,0.000699338,0.000233113,0.000699338,0.000233113,0.000699338,0.000233113,0.000699338,0.000233113
71,12320,0.91029,1.25048,0.49479,0.0028,1.36241,0.94342,0.92896,0.96747,0.74382,0.94423,0.92769,0.96606,0.69464,0.91789,1.31993,0.40582,0.00484,0,0.000697734,0.000232578,0.000697734,0.000232578,0.000697734,0.000232578,0.000697734,0.000232578
72,12482.3,0.90184,1.25427,0.49337,0.0028,1.35294,0.9459,0.92871,0.96768,0.74381,0.9455,0.92805,0.96618,0.69489,0.91879,1.32345,0.40657,0.00484,0,0.00069613,0.000232043,0.00069613,0.000232043,0.00069613,0.000232043,0.00069613,0.000232043
73,12643.2,0.90197,1.25351,0.48479,0.00281,1.35005,0.94505,0.92695,0.96767,0.74591,0.94489,0.92654,0.96627,0.69445,0.91246,1.31736,0.4042,0.0048,0,0.000694526,0.000231509,0.000694526,0.000231509,0.000694526,0.000231509,0.000694526,0.000231509
74,12805.9,0.89703,1.23994,0.4754,0.00277,1.35221,0.94195,0.9328,0.9683,0.74596,0.94178,0.9315,0.9663,0.69439,0.91455,1.31599,0.40175,0.00482,0,0.000692923,0.000230974,0.000692923,0.000230974,0.000692923,0.000230974,0.000692923,0.000230974
75,12966.6,0.89814,1.25117,0.48329,0.00277,1.33857,0.94268,0.93348,0.96763,0.74502,0.94247,0.93292,0.96607,0.69399,0.91462,1.31998,0.4038,0.00482,0,0.000691319,0.00023044,0.000691319,0.00023044,0.000691319,0.00023044,0.000691319,0.00023044
76,13127.7,0.89407,1.23941,0.47039,0.00277,1.336,0.94248,0.93146,0.9678,0.74522,0.94093,0.9311,0.96607,0.69402,0.91554,1.31897,0.40481,0.00484,0,0.000689715,0.000229905,0.000689715,0.000229905,0.000689715,0.000229905,0.000689715,0.000229905
77,13288,0.89625,1.25822,0.48917,0.00277,1.33127,0.93961,0.93311,0.96764,0.74548,0.9384,0.93265,0.9658,0.69499,0.91641,1.31891,0.40609,0.00483,0,0.000688111,0.00022937,0.000688111,0.00022937,0.000688111,0.00022937,0.000688111,0.00022937
78,13451,0.89682,1.24438,0.47789,0.00273,1.31611,0.94682,0.93083,0.96858,0.74657,0.94443,0.93094,0.96661,0.69561,0.91736,1.31972,0.40096,0.00484,0,0.000686507,0.000228836,0.000686507,0.000228836,0.000686507,0.000228836,0.000686507,0.000228836
79,13613.5,0.89836,1.23606,0.47661,0.00276,1.32195,0.94313,0.93472,0.96895,0.74784,0.94342,0.93242,0.96735,0.69559,0.91412,1.31456,0.40029,0.00481,0,0.000684904,0.000228301,0.000684904,0.000228301,0.000684904,0.000228301,0.000684904,0.000228301
80,13777,0.89906,1.25574,0.47333,0.00276,1.33047,0.94241,0.93662,0.96892,0.74742,0.9422,0.9354,0.96749,0.69652,0.91616,1.31839,0.39986,0.00483,0,0.0006833,0.000227767,0.0006833,0.000227767,0.0006833,0.000227767,0.0006833,0.000227767
81,13943.1,0.89668,1.25392,0.47698,0.00274,1.31175,0.9467,0.9298,0.96821,0.74738,0.94589,0.92925,0.9664,0.69452,0.91449,1.31782,0.40163,0.00482,0,0.000681696,0.000227232,0.000681696,0.000227232,0.000681696,0.000227232,0.000681696,0.000227232
82,14104.1,0.89386,1.23891,0.46987,0.00274,1.3227,0.94778,0.93037,0.96847,0.74581,0.94685,0.9306,0.96697,0.6974,0.91706,1.32127,0.40219,0.00483,0,0.000680092,0.000226697,0.000680092,0.000226697,0.000680092,0.000226697,0.000680092,0.000226697
83,14265,0.89619,1.23977,0.46477,0.00274,1.29762,0.94186,0.93383,0.96843,0.74711,0.9417,0.93322,0.96687,0.69547,0.91486,1.31973,0.40173,0.00482,0,0.000678488,0.000226163,0.000678488,0.000226163,0.000678488,0.000226163,0.000678488,0.000226163
84,14426.1,0.89168,1.24167,0.4642,0.00273,1.29812,0.94348,0.93389,0.96784,0.74701,0.94335,0.9335,0.96637,0.69624,0.91706,1.32167,0.40101,0.00484,0,0.000676885,0.000225628,0.000676885,0.000225628,0.000676885,0.000225628,0.000676885,0.000225628
85,14587.6,0.89457,1.24462,0.46609,0.00273,1.30476,0.94096,0.93296,0.9684,0.74566,0.94047,0.93219,0.96679,0.69624,0.91909,1.32317,0.403,0.00486,0,0.000675281,0.000225094,0.000675281,0.000225094,0.000675281,0.000225094,0.000675281,0.000225094
86,14748.3,0.89533,1.24075,0.46457,0.00273,1.30984,0.94377,0.93556,0.96955,0.74889,0.94401,0.93494,0.96822,0.69696,0.91501,1.32561,0.39848,0.00483,0,0.000673677,0.000224559,0.000673677,0.000224559,0.000673677,0.000224559,0.000673677,0.000224559
87,14912,0.87973,1.23086,0.45345,0.00269,1.2922,0.94066,0.93536,0.96869,0.74748,0.94545,0.93111,0.96717,0.6962,0.91757,1.32256,0.40107,0.00484,0,0.000672073,0.000224024,0.000672073,0.000224024,0.000672073,0.000224024,0.000672073,0.000224024
88,15073.5,0.88689,1.23275,0.45541,0.00273,1.30145,0.9452,0.93207,0.96926,0.74736,0.9452,0.93238,0.96824,0.69814,0.91794,1.32686,0.39845,0.00485,0,0.000670469,0.00022349,0.000670469,0.00022349,0.000670469,0.00022349,0.000670469,0.00022349
89,15233.8,0.88141,1.2247,0.45269,0.00271,1.2937,0.94611,0.93465,0.96789,0.74611,0.94617,0.93472,0.96698,0.69662,0.91951,1.32412,0.40454,0.00485,0,0.000668866,0.000222955,0.000668866,0.000222955,0.000668866,0.000222955,0.000668866,0.000222955
